fp_block,review_cost,LogReg,RandomForest,XGBoost,RL
-6,-0.3,143.84626187901748,153.6913065866543,145.35836337238925,151.17972005043464
-6,-0.2,143.84626187901748,153.6913065866543,145.35836337238925,160.92879546828095
-6,-0.1,143.84626187901748,153.6913065866543,145.35836337238925,170.67787088605752
-6,0.0,143.84626187901748,153.6913065866543,145.35836337238925,180.42694630389838
-4,-0.3,162.7124198304151,169.60816441165608,163.85000702202325,151.64786292764074
-4,-0.2,162.7124198304151,169.60816441165608,163.85000702202325,161.39693834548706
-4,-0.1,162.7124198304151,169.60816441165608,163.85000702202325,171.14601376326362
-4,0.0,162.7124198304151,169.60816441165608,163.85000702202325,180.89508918110448
-2,-0.3,181.57857778181383,185.52502223665937,182.3416506716593,152.11600580484688
-2,-0.2,181.57857778181383,185.52502223665937,182.3416506716593,161.8650812226932
-2,-0.1,181.57857778181383,185.52502223665937,182.3416506716593,171.61415664046973
-2,0.0,181.57857778181383,185.52502223665937,182.3416506716593,181.36323205831062
-1,-0.3,191.01165675751437,193.48345114916984,191.58747249647777,152.35007724344993
-1,-0.2,191.01165675751437,193.48345114916984,191.58747249647777,162.09915266129624
-1,-0.1,191.01165675751437,193.48345114916984,191.58747249647777,171.84822807907278
-1,0.0,191.01165675751437,193.48345114916984,191.58747249647777,181.59730349691367
