step,RL_F1,RL_Prec,RL_Rec,RL_p95_ms,RL_p99_ms,RL_TPS,LR_F1,LR_Prec,LR_Rec,LR_p95_ms,LR_p99_ms,LR_TPS,RF_F1,RF_Prec,RF_Rec,RF_p95_ms,RF_p99_ms,RF_TPS,XGB_F1,XGB_Prec,XGB_Rec,XGB_p95_ms,XGB_p99_ms,XGB_TPS
1000,0.0,0.0,0.0,0.4149749060161411,0.47527801012620324,1760.403448325763,0.0,0.0,0.0,0.001300009898841381,0.0018010125495493403,955384.8124689901,0.0,0.0,0.0,0.000500003807246685,0.000800006091594696,2787844.577941783,0.0,0.0,0.0,0.000500003807246685,0.000800006091594696,2307337.7369169057
2000,1.0,1.0,1.0,0.4076299665030092,0.47925003920681764,2905.1280945580197,0.5217391304347826,0.35294117647058826,1.0,0.001305004116147752,0.0018010137137025586,931012.3879782517,0.631578947368421,0.46153846153846156,1.0,0.000500003807246685,0.000700005330145359,2819282.791314705,0.6,0.42857142857142855,1.0,0.000500003807246685,0.000800006091594696,2316421.4204005203
3000,1.0,1.0,1.0,0.4158100229687989,0.5025580979418007,2784.3542640241594,0.18181818181818182,0.1,1.0,0.0012050091754645064,0.0021010159980505696,959692.6671995106,0.3333333333333333,0.2,1.0,0.000500003807246685,0.000700005330145359,2804274.998637027,0.2222222222222222,0.125,1.0,0.000600004568696022,0.000800006091594696,2175803.9117148807
4000,0.0,0.0,0.0,0.4232049628626555,0.5031059880275278,2849.511873721604,0.0,0.0,0.0,0.001400010660290718,0.0023999030236154795,923275.6987793859,0.18181818181818182,0.1111111111111111,0.5,0.000500003807246685,0.000800006091594696,2635044.64026612,0.13333333333333333,0.07692307692307693,0.5,0.000600004568696022,0.000800006091594696,2298320.0976913883
5000,0.0,0.0,0.0,0.4085150780156255,0.4889329976867884,2917.152021831162,0.0,0.0,0.0,0.001300009898841381,0.0019020133186131698,939673.2397620234,0.0,0.0,0.0,0.0005998881533741951,0.0007010053377598515,2688894.5904600797,0.0,0.0,0.0,0.000600004568696022,0.000800006091594696,2211900.266485799
6000,0.6666666666666666,1.0,0.5,0.4178249218966812,0.5002999678254126,2909.4904411804637,0.36363636363636365,0.2222222222222222,1.0,0.001405004877597089,0.002100015990436077,916421.2732122261,0.2857142857142857,0.16666666666666666,1.0,0.000500003807246685,0.000900006853044033,2646906.621415209,0.4,0.25,1.0,0.000600004568696022,0.000900006853044033,2223206.621323949
7000,1.0,1.0,1.0,0.4071199567988515,0.4942140367347746,2887.859779837314,0.26666666666666666,0.15384615384615385,1.0,0.001400010660290718,0.002100015990436077,910580.5808467086,0.3333333333333333,0.2,1.0,0.000600004568696022,0.000800006091594696,2589324.724290583,0.3076923076923077,0.18181818181818182,1.0,0.000600004568696022,0.000800006091594696,2196841.177147563
8000,0.75,1.0,0.6,0.39581998717039824,0.5156860803253945,2919.685873682966,0.4444444444444444,0.3076923076923077,0.8,0.0013998942449688911,0.002802021335810421,901794.5209319231,0.5,0.36363636363636365,0.8,0.000600004568696022,0.000800006091594696,2643399.2194065754,0.38095238095238093,0.25,0.8,0.000600004568696022,0.0008010060992091885,2220252.9949735054
9000,1.0,1.0,1.0,0.40461005410179496,0.5091360339429228,2900.820107396986,0.14285714285714285,0.07692307692307693,1.0,0.001300009898841381,0.0022010167594999066,937558.212221137,0.2,0.1111111111111111,1.0,0.0005998939741402864,0.000700005330145359,2659578.0966750067,0.2857142857142857,0.16666666666666666,1.0,0.000600004568696022,0.000800006091594696,2255296.9931069827
10000,0.75,1.0,0.6,0.39682500064373016,0.48411796102300286,2925.4128021158444,0.43478260869565216,0.2777777777777778,1.0,0.001300009898841381,0.0022999022621661425,921318.3417216128,0.5263157894736842,0.35714285714285715,1.0,0.000600004568696022,0.0007010053377598515,2600781.691326342,0.3076923076923077,0.19047619047619047,0.8,0.000600004568696022,0.000800006091594696,2243658.0503272787
11000,1.0,1.0,1.0,0.39008505991660053,0.5025589850265533,2905.637130259118,0.25,0.14285714285714285,1.0,0.001205003354698415,0.0027009041514247647,935191.4562696682,0.3076923076923077,0.18181818181818182,1.0,0.000600004568696022,0.0007010053377598515,2597403.239793851,0.4,0.25,1.0,0.000600004568696022,0.000800006091594696,2245172.800426142
12000,0.0,0.0,0.0,0.4048099450301379,0.5178509850520641,2892.8798377396333,0.0,0.0,0.0,0.001300009898841381,0.002402018290013073,910497.1895207441,0.0,0.0,0.0,0.000600004568696022,0.000900006853044033,2575328.819228229,0.0,0.0,0.0,0.000600004568696022,0.000900006853044033,2196357.5451848395
13000,0.0,0.0,0.0,0.3958150977268815,0.5352660012431442,2910.310908886247,0.0,0.0,0.0,0.001300009898841381,0.00250201905146241,925156.0894528279,0.0,0.0,0.0,0.000600004568696022,0.000800006091594696,2547125.7711489405,0.0,0.0,0.0,0.000600004568696022,0.0008010060992091885,2227168.3923247927
14000,1.0,1.0,1.0,0.4045500536449253,0.5152640806045382,2916.265560933832,0.2857142857142857,0.16666666666666666,1.0,0.001300009898841381,0.002200016751885414,931965.9251568161,0.4444444444444444,0.2857142857142857,1.0,0.000600004568696022,0.000800006091594696,2596733.4694285966,0.36363636363636365,0.2222222222222222,1.0,0.000600004568696022,0.0008998916018754244,2263981.335585208
15000,0.0,0.0,0.0,0.3957149921916425,0.4610580147709693,2916.7827137652635,0.0,0.0,0.0,0.001300009898841381,0.0023999030236154795,935453.9068184982,0.0,0.0,0.0,0.000600004568696022,0.0007010053377598515,2597399.312817855,0.0,0.0,0.0,0.000600004568696022,0.000800006091594696,2266038.2364548445
16000,0.0,0.0,0.0,0.4073149582836777,0.5500009958632288,2852.228065233916,0.0,0.0,0.0,0.001300009898841381,0.0025010190438479176,932662.6137335887,0.0,0.0,0.0,0.000600004568696022,0.000900006853044033,2619169.1688206117,0.0,0.0,0.0,0.000600004568696022,0.000900006853044033,2255812.264569139
17000,0.6666666666666666,0.5,1.0,0.4419300996232777,0.5114189372397959,2754.7071383778557,0.15384615384615385,0.08333333333333333,1.0,0.001400010660290718,0.0026030198205262397,918694.7453575884,0.3333333333333333,0.2,1.0,0.000600004568696022,0.0007998908404260874,2522065.1825222783,0.18181818181818182,0.1,1.0,0.000600004568696022,0.000700005330145359,2262952.496340127
18000,0.0,0.0,0.0,0.4372549534309655,0.5185569904278964,2775.1899115362744,0.0,0.0,0.0,0.001300009898841381,0.001900014467537403,955657.0199828403,0.0,0.0,0.0,0.000600004568696022,0.000800006091594696,2665243.101187547,0.0,0.0,0.0,0.000600004568696022,0.000700005330145359,2291475.9890701897
19000,1.0,1.0,1.0,0.436235056258738,0.545187958050519,2732.457701741656,0.15384615384615385,0.08333333333333333,1.0,0.001400010660290718,0.002402017125859855,931185.4755640544,0.13333333333333333,0.07142857142857142,1.0,0.000600004568696022,0.0009010068606585256,2460630.9208845277,0.13333333333333333,0.07142857142857142,1.0,0.000600004568696022,0.000800006091594696,2295680.7445438416
20000,1.0,1.0,1.0,0.425019976682961,0.5129290639888495,2781.4577931146923,0.5714285714285714,0.4,1.0,0.001300009898841381,0.0018018984701484424,957119.9842046144,0.4,0.25,1.0,0.0005998939741402864,0.000700005330145359,2606881.3061819063,0.2857142857142857,0.16666666666666666,1.0,0.000600004568696022,0.000800006091594696,2289905.4632388735
21000,0.4,0.5,0.3333333333333333,0.428279995685443,0.5592980643268672,2760.769878405731,0.26666666666666666,0.16666666666666666,0.6666666666666666,0.001300009898841381,0.00200001522898674,932574.015293679,0.26666666666666666,0.16666666666666666,0.6666666666666666,0.000600004568696022,0.0007010053377598515,2520797.350413455,0.25,0.15384615384615385,0.6666666666666666,0.000600004568696022,0.000800006091594696,2213859.0155391404
22000,1.0,1.0,1.0,0.4225950746331363,0.5306050810031593,2787.425371767715,0.2857142857142857,0.16666666666666666,1.0,0.001200009137392044,0.0019010144751518956,951746.2729265678,0.5,0.3333333333333333,1.0,0.000600004568696022,0.000700005330145359,2684564.29158528,0.5,0.3333333333333333,1.0,0.000600004568696022,0.0007010053377598515,2311071.081177864
23000,0.0,0.0,0.0,0.45332996523939073,0.5712480412330478,2709.7936129822056,0.0,0.0,0.0,0.001305004116147752,0.0023010175209492436,922594.9401457948,0.0,0.0,0.0,0.000600004568696022,0.000800006091594696,2536772.2832335206,0.0,0.0,0.0,0.000600004568696022,0.000900006853044033,2250222.035473619
24000,0.0,0.0,0.0,0.4294900107197463,0.5400910368189215,2778.927164715848,0.0,0.0,0.0,0.001300009898841381,0.0024010182823985806,943574.4334857893,0.0,0.0,0.0,0.000600004568696022,0.000800006091594696,2607562.6546829175,0.0,0.0,0.0,0.000600004568696022,0.0007010053377598515,2297265.348737698
25000,0.0,0.0,0.0,0.44982004328630865,0.5311729689128696,2768.228927580154,0.0,0.0,0.0,0.0012998934835195541,0.0023010163567960254,940114.326214713,0.0,0.0,0.0,0.000600004568696022,0.0008010060992091885,2566737.0434071706,0.0,0.0,0.0,0.000600004568696022,0.000800006091594696,2294101.388302451
26000,0.0,0.0,0.0,0.44152498594485223,0.5741970625240354,2757.801358224108,0.0,0.0,0.0,0.001300009898841381,0.0018010125495493403,944018.5684041723,0.0,0.0,0.0,0.000600004568696022,0.000800006091594696,2605520.4671409214,0.0,0.0,0.0,0.000600004568696022,0.000800006091594696,2240642.271564259
27000,0.0,0.0,0.0,0.4287100047804415,0.5253020417876542,2742.548990716423,0.14285714285714285,0.07692307692307693,1.0,0.001300009898841381,0.002500019036233425,933968.530131098,0.15384615384615385,0.08333333333333333,1.0,0.000600004568696022,0.000900006853044033,2550368.556893099,0.16666666666666666,0.09090909090909091,1.0,0.000600004568696022,0.000800006091594696,2279464.0464218115
28000,0.0,0.0,0.0,0.455099978717044,0.5307520821224898,2640.510808891879,0.0,0.0,0.0,0.001400010660290718,0.002300017513334751,907852.9233245257,0.0,0.0,0.0,0.000600004568696022,0.0009010068606585256,2566729.3738268106,0.0,0.0,0.0,0.000600004568696022,0.001300009898841381,2225189.4901868138
29000,0.0,0.0,0.0,0.4504999436903745,0.5532380205113441,2731.1017463939584,0.0,0.0,0.0,0.001300009898841381,0.00200001522898674,923274.8056486361,0.0,0.0,0.0,0.000600004568696022,0.0008010060992091885,2522067.404012437,0.0,0.0,0.0,0.000600004568696022,0.0009010068606585256,2198284.913201633
30000,0.0,0.0,0.0,0.4282400012016296,0.5167529766913503,2764.732066248095,0.0,0.0,0.0,0.001300009898841381,0.00200001522898674,951928.7388920485,0.0,0.0,0.0,0.000600004568696022,0.0007010053377598515,2620547.5039628837,0.0,0.0,0.0,0.000600004568696022,0.000800006091594696,2311067.350503878
31000,0.0,0.0,0.0,0.43387003825046117,0.5075430229771882,2749.0124258474375,0.13333333333333333,0.07142857142857142,1.0,0.001300009898841381,0.001900014467537403,942950.8826427766,0.125,0.06666666666666667,1.0,0.000600004568696022,0.000700005330145359,2543234.4539539306,0.11764705882352941,0.0625,1.0,0.000600004568696022,0.000800006091594696,2242655.7925316123
32000,0.0,0.0,0.0,0.4450099018868059,0.6276270048692821,2710.7734821974477,0.0,0.0,0.0,0.001300009898841381,0.0019020144827663881,940999.7011563758,0.0,0.0,0.0,0.000600004568696022,0.000800006091594696,2628815.8951844256,0.0,0.0,0.0,0.000600004568696022,0.000800006091594696,2273760.9409365584
33000,0.5,0.5,0.5,0.4469150269869715,0.6013130384963006,2689.159517451651,0.125,0.07142857142857142,0.5,0.001400010660290718,0.002300017513334751,923871.901550428,0.14285714285714285,0.08333333333333333,0.5,0.000600004568696022,0.0007998896762728691,2525888.9688384086,0.16666666666666666,0.1,0.5,0.000600004568696022,0.000800006091594696,2198772.771357887
34000,0.0,0.0,0.0,0.4363550571724772,0.5664900061674415,2747.624874439184,0.0,0.0,0.0,0.0012998934835195541,0.001900014467537403,948947.4106795067,0.15384615384615385,0.09090909090909091,0.5,0.000600004568696022,0.000700005330145359,2641311.0940830493,0.16666666666666666,0.1,0.5,0.000600004568696022,0.000700005330145359,2275310.597359666
35000,1.0,1.0,1.0,0.4745100042782724,0.6403410993516442,2649.0073197363276,0.16666666666666666,0.09090909090909091,1.0,0.001500011421740055,0.0024030182976275656,908842.3727335902,0.15384615384615385,0.08333333333333333,1.0,0.000600004568696022,0.0008010049350559703,2410798.267130831,0.1111111111111111,0.058823529411764705,1.0,0.000600004568696022,0.000800006091594696,2166847.68231299
36000,0.0,0.0,0.0,0.43459493899717916,0.5225220206193626,2743.514317262723,0.0,0.0,0.0,0.001300009898841381,0.0023010175209492436,942595.5583549552,0.0,0.0,0.0,0.000600004568696022,0.000800006091594696,2613693.3600120735,0.0,0.0,0.0,0.000600004568696022,0.000800006091594696,2248203.737490509
37000,0.0,0.0,0.0,0.42867000447586173,0.5269940488506103,2693.7572535395434,0.0,0.0,0.0,0.001300009898841381,0.002102016005665062,930664.7924661299,0.0,0.0,0.0,0.000600004568696022,0.000800006091594696,2584650.0682124137,0.0,0.0,0.0,0.000600004568696022,0.000800006091594696,2177226.742529698
38000,0.6666666666666666,0.5,1.0,0.45679998584091663,0.5817140056751668,2676.0750263876557,0.2222222222222222,0.125,1.0,0.0013999000657349825,0.0021010159980505696,924897.1937178007,0.2,0.1111111111111111,1.0,0.000600004568696022,0.000800006091594696,2590000.829771427,0.2857142857142857,0.16666666666666666,1.0,0.000600004568696022,0.0008998916018754244,2198771.6457150374
39000,0.8,0.6666666666666666,1.0,0.4643650434445589,0.7955410028807819,2654.9389121041454,0.5,0.3333333333333333,1.0,0.001300009898841381,0.003200024366378784,903995.4368404414,0.4,0.25,1.0,0.000600004568696022,0.0008010060992091885,2478922.388360346,0.3333333333333333,0.2,1.0,0.000600004568696022,0.000800006091594696,2163102.8730707252
40000,0.0,0.0,0.0,0.4313600249588489,0.5571130500175058,2724.2968199474617,0.15384615384615385,0.09090909090909091,0.5,0.001200009137392044,0.001800013706088066,963390.175880048,0.2222222222222222,0.14285714285714285,0.5,0.0005998939741402864,0.000700005330145359,2641311.0940830493,0.15384615384615385,0.09090909090909091,0.5,0.000600004568696022,0.000700005330145359,2265009.9162836466
41000,0.0,0.0,0.0,0.4520699498243628,0.5704080348368733,2670.4965215232432,0.0,0.0,0.0,0.001300009898841381,0.002500019036233425,936243.1634927345,0.0,0.0,0.0,0.000600004568696022,0.000800006091594696,2474638.9612544645,0.0,0.0,0.0,0.000600004568696022,0.000800006091594696,2192495.022692113
42000,0.0,0.0,0.0,0.4322150314692408,0.5646971077658235,2708.033143984144,0.0,0.0,0.0,0.001300009898841381,0.0019010144751518956,933097.2429427874,0.0,0.0,0.0,0.000600004568696022,0.000800006091594696,2643400.032865806,0.0,0.0,0.0,0.000600004568696022,0.000700005330145359,2232638.721475809
42722,0.0,0.0,0.0,0.4359650542028248,0.5461829679552465,2684.3720562337426,0.0,0.0,0.0,0.001300009898841381,0.0020030152518302176,926612.746383513,0.0,0.0,0.0,0.000500003807246685,0.000800006091594696,2581975.208641116,0.0,0.0,0.0,0.000600004568696022,0.000800006091594696,2209943.274774965
